area_scaling_factor,vdd_vpp_scaling_factor,tRCD(ns),tCL(ns),tRAS(ns),tRP(ns),tRC(ns),tRL(ns),tRTP(ns),tCCD(ns),tWR(ns),tRFC(ns),subarray_height(um),subarray_width(um),tile_heigh(um),tile_width(um),bank_height(um),bank_width(um),channel_height(um),channel_width(um),channel_area(mm^2),idd0(ma),ipp0(ma),idd1(ma),ipp1(ma),idd2n(ma),idd3n(ma),ipp3n(ma),idd4r(ma),idd4w(ma)
1.00,0.50,0.9122218937450529,1.0,0.9435995784520367,1.8934618093252344,1.2904106711479884,1.0,1.0,1.0,0.7481506710166231,108.603,51.92,74.036,1309.16,893.432,1434.16,2036.86,5961.64,8147.46,48.5722,0.8343394795646994,0.9109402328916062,0.767375296675684,0.9109402328916062,1.0,1.0,1.0,0.6809304296685809,0.6809304296685809
1.00,0.83,0.9122218937450529,1.0,0.9435995784520367,1.8934618093252344,1.2904106711479884,1.0,1.0,1.0,0.7481506710166231,108.603,51.92,74.036,1309.16,893.432,1434.16,2036.86,5961.64,8147.46,48.5722,0.9046200262987354,0.9487228778973574,0.8631387789680443,0.9487228778973574,1.0,1.0,1.0,0.893637999031343,0.893637999031343
1.00,1.00,0.9122218937450529,1.0,0.9435995784520367,1.8934618093252344,1.2904106711479884,1.0,1.0,1.0,0.7481506710166231,108.603,51.92,74.036,1309.16,893.432,1434.16,2036.86,5961.64,8147.46,48.5722,0.9397602996657533,0.9676157761215196,0.9110205201142243,0.9676157761215196,1.0,1.0,1.0,1.0,1.0
1.00,1.40,0.9122218937450529,1.0,0.9435995784520367,1.8934618093252344,1.2904106711479884,1.0,1.0,1.0,0.7481506710166231,108.603,51.92,74.036,1309.16,893.432,1434.16,2036.86,5961.64,8147.46,48.5722,1.0240964179401477,1.0129555804169357,1.0259349293176403,1.0129555804169357,1.0,1.0,1.0,1.2552497751331904,1.2552497751331904
1.00,2.00,0.9122218937450529,1.0,0.9435995784520367,1.8934618093252344,1.2904106711479884,1.0,1.0,1.0,0.7481506710166231,108.603,51.92,74.036,1309.16,893.432,1434.16,2036.86,5961.64,8147.46,48.5722,1.1506019398678609,1.0809637111387738,1.1983087550570348,1.0809637111387738,1.0,1.0,1.0,1.6381287621947003,1.6381287621947003
1.44,0.50,1.2650365722241825,1.02556097369745,1.1791272486642812,2.676250515399113,1.7257524303002718,1.02556097369745,1.0255087710338842,1.023144890139964,0.7525683464987233,120.206,60.304,87.8432,1501.99,1059.12,1626.99,2368.24,6732.97,9472.95,63.7811,0.8250219828385963,0.9007736791516316,0.7475054911268256,0.9007736791516316,1.0,1.0,1.0,0.7337758596831109,0.7337758596831109
1.44,0.83,1.2650365722241825,1.02556097369745,1.1791272486642812,2.676250515399113,1.7257524303002718,1.02556097369745,1.0255087710338842,1.023144890139964,0.7525683464987233,120.206,60.304,87.8432,1501.99,1059.12,1626.99,2368.24,6732.97,9472.95,63.7811,0.8890908650885634,0.9317807226257819,0.8335939729215007,0.9317807226257819,1.0,1.0,1.0,0.9797533384072511,0.9797533384072511
1.44,1.00,1.2650365722241825,1.02556097369745,1.1791272486642812,2.676250515399113,1.7257524303002718,1.02556097369745,1.0255087710338842,1.023144890139964,0.7525683464987233,120.206,60.304,87.8432,1501.99,1059.12,1626.99,2368.24,6732.97,9472.95,63.7811,0.9211226171813027,0.9472826686415706,0.876636001884568,0.9472826686415706,1.0,1.0,1.0,1.1027381858437695,1.1027381858437695
1.44,1.40,1.2650365722241825,1.02556097369745,1.1791272486642812,2.676250515399113,1.7257524303002718,1.02556097369745,1.0255087710338842,1.023144890139964,0.7525683464987233,120.206,60.304,87.8432,1501.99,1059.12,1626.99,2368.24,6732.97,9472.95,63.7811,0.9980047380748143,0.9844885996564927,0.9799399681039078,0.9844885996564927,1.0,1.0,1.0,1.397910468414862,1.397910468414862
1.44,2.00,1.2650365722241825,1.02556097369745,1.1791272486642812,2.676250515399113,1.7257524303002718,1.02556097369745,1.0255087710338842,1.023144890139964,0.7525683464987233,120.206,60.304,87.8432,1501.99,1059.12,1626.99,2368.24,6732.97,9472.95,63.7811,1.1133265748989598,1.0403006476214487,1.1348948114657824,1.0403006476214487,1.0,1.0,1.0,1.8406645679097764,1.8406645679097764
1.96,0.50,1.6813400596980765,1.0520595351916666,1.4555536493309154,3.600847225581269,2.238836567898641,1.0520595351916666,1.0513367208845084,1.0465816978132247,0.757041790652374,133.908,68.688,101.65,1694.82,1224.8,1819.82,2699.61,7504.3,10798.4,81.0347,0.8144433299899699,0.8923719332524463,0.7280205621409754,0.8923719332524463,1.0,1.0,1.0,0.7866593440808137,0.7866593440808137
1.96,0.83,1.6813400596980765,1.0520595351916666,1.4555536493309154,3.600847225581269,2.238836567898641,1.0520595351916666,1.0513367208845084,1.0465816978132247,0.757041790652374,133.908,68.688,101.65,1694.82,1224.8,1819.82,2699.61,7504.3,10798.4,81.0347,0.8714615696956823,0.9177757118320912,0.8038611524619934,0.9177757118320912,1.0,1.0,1.0,1.0659032726769528,1.0659032726769528
1.96,1.00,1.6813400596980765,1.0520595351916666,1.4555536493309154,3.600847225581269,2.238836567898641,1.0520595351916666,1.0513367208845084,1.0465816978132247,0.757041790652374,133.908,68.688,101.65,1694.82,1224.8,1819.82,2699.61,7504.3,10798.4,81.0347,0.8999680005162942,0.9304760254006271,0.8417803416553674,0.9304760254006271,1.0,1.0,1.0,1.2055196153047811,1.2055196153047811
1.96,1.40,1.6813400596980765,1.0520595351916666,1.4555536493309154,3.600847225581269,2.238836567898641,1.0520595351916666,1.0513367208845084,1.0465816978132247,0.757041790652374,133.908,68.688,101.65,1694.82,1224.8,1819.82,2699.61,7504.3,10798.4,81.0347,0.9683877369373537,0.9609599294076863,0.9327881652668809,0.9609599294076863,1.0,1.0,1.0,1.5406057565903273,1.5406057565903273
